cif,formula,sgnum,WyckOcc,sitios,elements,atoms,target
1008644,LaVO3,62,"{0: {'b': {'V3+': 1}}, 1: {'c': {'La3+': 1}}, 2: {'c': {'O2-': 1}}, 3: {'d': {'O2-': 1}}}",4,3.0,20.0,7
1008646,LaVO3,14,"{0: {'c': {'V3+': 1}}, 1: {'d': {'V3+': 1}}, 2: {'e': {'La3+': 1}}, 3: {'e': {'O2-': 1}}, 4: {'e': {'O2-': 1}}, 5: {'e': {'O2-': 1}}}",6,3.0,20.0,7
1008788,NdTi3Fe(CuO4)3,204,"{0: {'a': {'Nd3+': 1}}, 1: {'b': {'Cu2+': 1}}, 2: {'c': {'Ti4+': 0.75, 'Fe3+': 0.25}}, 3: {'g': {'O2-': 1}}}",4,5.0,40.0,7
1008816,K2.24Sr1.76Bi4O12,140,"{0: {'a': {'O2-': 1}}, 1: {'b': {'K+': 0.56, 'Sr2+': 0.44}}, 2: {'c': {'Bi4.56+': 1}}, 3: {'h': {'O2-': 1}}}",4,4.0,20.0,7
1008898,MgTe(PbO3)2,225,"{0: {'a': {'Mg2+': 1}}, 1: {'b': {'Te6+': 1}}, 2: {'c': {'Pb2+': 1}}, 3: {'e': {'O2-': 1}}}",4,4.0,40.0,7
1009044,Mn3NiN,221,"{0: {'a': {'Ni0+': 1}}, 1: {'b': {'N0+': 1}}, 2: {'c': {'Mn0+': 1}}}",3,3.0,5.0,7
1009045,Mn3PdN,221,"{0: {'a': {'Pd0+': 1}}, 1: {'b': {'N0+': 1}}, 2: {'c': {'Mn0+': 1}}}",3,3.0,5.0,7
1009048,Mn3RhN,221,"{0: {'a': {'Rh0+': 1}}, 1: {'b': {'N0+': 1}}, 2: {'c': {'Mn0+': 1}}}",3,3.0,5.0,7
1009050,Mn3SnN,221,"{0: {'a': {'Sn0+': 1}}, 1: {'b': {'N0+': 1}}, 2: {'c': {'Mn0+': 1}}}",3,3.0,5.0,7
1009074,Mn3GaN,221,"{0: {'a': {'Ga0+': 1}}, 1: {'b': {'N0+': 1}}, 2: {'c': {'Mn0+': 1}}}",3,3.0,5.0,7
1010072,CsAuCl3,225,"{0: {'a': {'Au3+': 1}}, 1: {'b': {'Au+': 1}}, 2: {'c': {'Cs+': 1}}, 3: {'e': {'Cl-': 1}}}",4,3.0,40.0,7
1010118,CsHgBr3,221,"{0: {'a': {'Cs+': 1}}, 1: {'b': {'Hg2+': 1}}, 2: {'c': {'Br-': 1}}}",3,3.0,5.0,7
1010119,Cs1Hg1Br2.01Cl0.99,221,"{0: {'a': {'Cs+': 1}}, 1: {'b': {'Hg2+': 1}}, 2: {'c': {'Br-': 0.67, 'Cl-': 0.33}}}",3,4.0,5.0,7
1010120,Cs1Hg1Br0.99Cl2.01,221,"{0: {'a': {'Cs+': 1}}, 1: {'b': {'Hg2+': 1}}, 2: {'c': {'Br-': 0.33, 'Cl-': 0.67}}}",3,4.0,5.0,7
1010121,CsHgCl3,221,"{0: {'a': {'Cs+': 1}}, 1: {'b': {'Hg2+': 1}}, 2: {'c': {'Cl-': 1}}}",3,3.0,5.0,7
1010122,CsCdBr3,221,"{0: {'a': {'Cs+': 1}}, 1: {'b': {'Cd2+': 1}}, 2: {'c': {'Br-': 1}}}",3,3.0,5.0,7
1010123,CsCdCl3,221,"{0: {'a': {'Cs+': 1}}, 1: {'b': {'Cd2+': 1}}, 2: {'c': {'Cl-': 1}}}",3,3.0,5.0,7
1010322,Cs1Ag0.5Au0.5Cl3,221,"{0: {'a': {'Cs+': 1}}, 1: {'b': {'Au3+': 0.5, 'Ag+': 0.5}}, 2: {'c': {'Cl-': 1}}}",3,4.0,5.0,7
1010323,Cs1Au1Cl3,221,"{0: {'a': {'Cs+': 1}}, 1: {'b': {'Au3+': 0.5, 'Au+': 0.5}}, 2: {'c': {'Cl-': 1}}}",3,3.0,5.0,7
1010406,BaCeO3,221,"{0: {'a': {'Ba2+': 1}}, 1: {'b': {'Ce4+': 1}}, 2: {'c': {'O2-': 1}}}",3,3.0,5.0,7
1010407,BaThO3,221,"{0: {'a': {'Ba2+': 1}}, 1: {'b': {'Th4+': 1}}, 2: {'c': {'O2-': 1}}}",3,3.0,5.0,7
1010419,NaWO3,221,"{0: {'a': {'Na+': 1}}, 1: {'b': {'W5+': 1}}, 2: {'c': {'O2-': 1}}}",3,3.0,5.0,7
1010420,Na0.35W1O3,221,"{0: {'a': {'Na+': 0.35}}, 1: {'b': {'W5.65+': 1}}, 2: {'c': {'O2-': 1}}}",3,3.0,4.35,7
